"Date","Price","Open","High","Low","Change %"
"Feb 15, 2023","20.085","20.085","20.085","20.085","-66.45%"
"Feb 14, 2023","59.870","20.070","20.070","20.070","0.03%"
"Feb 13, 2023","59.853","20.060","20.060","20.060","0.05%"
"Feb 10, 2023","59.823","20.030","20.030","20.030","0.03%"
"Feb 09, 2023","59.806","20.020","20.020","20.020","0.03%"
"Feb 08, 2023","59.790","20.010","20.010","20.010","-0.01%"
"Feb 07, 2023","59.793","19.995","19.995","19.995","0.03%"
"Feb 06, 2023","59.777","19.990","19.990","19.990","0.05%"
"Feb 03, 2023","59.747","19.955","19.955","19.955","0.03%"
"Feb 02, 2023","59.731","19.945","19.945","19.945","0.03%"
"Feb 01, 2023","59.715","19.940","19.940","19.940","-0.01%"
"Jan 31, 2023","59.718","19.925","19.925","19.925","0.03%"
"Jan 30, 2023","59.702","24.310","24.310","24.310","0.05%"
"Jan 27, 2023","59.674","24.270","24.270","24.270","145.98%"
"Jan 26, 2023","24.260","24.260","24.260","24.260","0.04%"
"Jan 25, 2023","24.250","24.250","24.250","24.250","0.04%"
"Jan 24, 2023","24.240","24.240","24.240","24.240","0.21%"
"Jan 20, 2023","24.190","24.190","24.190","24.190","0.08%"
"Jan 19, 2023","24.170","24.170","24.170","24.170","0.04%"
"Jan 18, 2023","24.160","24.160","24.160","24.160","0.04%"
"Jan 17, 2023","24.150","24.150","24.150","24.150","0.04%"
"Jan 16, 2023","24.140","24.140","24.140","24.140","0.17%"
"Jan 13, 2023","24.100","24.100","24.100","24.100","0.04%"
"Jan 12, 2023","24.090","24.090","24.090","24.090","0.08%"
"Jan 11, 2023","24.070","24.070","24.070","24.070","0.04%"
"Jan 10, 2023","24.060","24.060","24.060","24.060","0.00%"
"Jan 09, 2023","24.060","24.060","24.060","24.060","0.21%"
"Jan 06, 2023","24.010","24.010","24.010","24.010","0.04%"
"Jan 05, 2023","24.000","24.000","24.000","24.000","0.04%"
"Jan 04, 2023","23.990","23.990","23.990","23.990","0.08%"
"Jan 03, 2023","23.970","23.970","23.970","23.970","0.00%"
"Jan 02, 2023","23.970","23.970","23.970","23.970","0.17%"
"Dec 30, 2022","23.930","23.930","23.930","23.930","0.08%"
"Dec 29, 2022","23.910","23.910","23.910","23.910","0.04%"
"Dec 28, 2022","23.900","23.900","23.900","23.900","0.04%"
"Dec 27, 2022","23.890","23.890","23.890","23.890","0.00%"
"Dec 26, 2022","23.890","23.890","23.890","23.890","0.21%"
"Dec 23, 2022","23.840","23.840","23.840","23.840","0.04%"
"Dec 22, 2022","23.830","23.830","23.830","23.830","0.04%"
"Dec 21, 2022","23.820","23.820","23.820","23.820","0.08%"
"Dec 20, 2022","23.800","23.800","23.800","23.800","0.04%"
"Dec 19, 2022","23.790","23.790","23.790","23.790","-5.97%"
"Dec 16, 2022","25.300","25.300","25.300","25.300","0.04%"
"Dec 15, 2022","25.290","25.290","25.290","25.290","0.08%"
"Dec 14, 2022","25.270","25.270","25.270","25.270","0.04%"
"Dec 13, 2022","25.260","25.260","25.260","25.260","0.04%"
"Dec 12, 2022","25.250","25.250","25.250","25.250","0.16%"
"Dec 09, 2022","25.210","25.210","25.210","25.210","0.04%"
"Dec 08, 2022","25.200","25.200","25.200","25.200","0.08%"
"Dec 07, 2022","25.180","25.180","25.180","25.180","0.04%"
"Dec 06, 2022","25.170","25.170","25.170","25.170","0.04%"
"Dec 05, 2022","25.160","25.160","25.160","25.160","0.16%"
"Dec 02, 2022","25.120","25.120","25.120","25.120","0.04%"
"Dec 01, 2022","25.110","25.110","25.110","25.110","0.08%"
"Nov 30, 2022","25.090","25.090","25.090","25.090","0.04%"
"Nov 29, 2022","25.080","25.080","25.080","25.080","0.04%"
"Nov 28, 2022","25.070","25.070","25.070","25.070","0.16%"
"Nov 25, 2022","25.030","25.030","25.030","25.030","0.04%"
"Nov 24, 2022","25.020","25.020","25.020","25.020","0.04%"
"Nov 23, 2022","25.010","25.010","25.010","25.010","0.08%"
"Nov 22, 2022","24.990","24.990","24.990","24.990","0.04%"
"Nov 21, 2022","24.980","24.980","24.980","24.980","0.16%"
"Nov 18, 2022","24.940","24.940","24.940","24.940","0.04%"
"Nov 17, 2022","24.930","24.930","24.930","24.930","0.04%"
"Nov 16, 2022","24.920","24.920","24.920","24.920","0.08%"
"Nov 15, 2022","24.900","24.900","24.900","24.900","-6.21%"
"Nov 14, 2022","26.550","26.550","26.550","26.550","0.15%"
"Nov 11, 2022","26.510","26.510","26.510","26.510","0.04%"
"Nov 10, 2022","26.500","26.500","26.500","26.500","0.04%"
"Nov 09, 2022","26.490","26.490","26.490","26.490","0.08%"
"Nov 08, 2022","26.470","26.470","26.470","26.470","0.04%"
"Nov 07, 2022","26.460","26.460","26.460","26.460","0.15%"
"Nov 04, 2022","26.420","26.420","26.420","26.420","0.04%"
"Nov 03, 2022","26.410","26.410","26.410","26.410","0.08%"
"Nov 02, 2022","26.390","26.390","26.390","26.390","0.04%"
"Nov 01, 2022","26.380","26.380","26.380","26.380","0.04%"
"Oct 31, 2022","26.370","26.370","26.370","26.370","0.15%"
"Oct 28, 2022","26.330","26.330","26.330","26.330","0.08%"
"Oct 27, 2022","26.310","26.310","26.310","26.310","0.04%"
"Oct 26, 2022","26.300","26.300","26.300","26.300","0.04%"
"Oct 25, 2022","26.290","26.290","26.290","26.290","0.08%"
"Oct 24, 2022","26.270","26.270","26.270","26.270","0.15%"
"Oct 21, 2022","26.230","26.230","26.230","26.230","0.04%"
"Oct 20, 2022","26.220","26.220","26.220","26.220","0.04%"
"Oct 19, 2022","26.210","26.210","26.210","26.210","0.08%"
"Oct 18, 2022","26.190","26.190","26.190","26.190","0.04%"
"Oct 17, 2022","26.180","26.180","26.180","26.180","0.00%"
"Oct 14, 2022","26.180","26.180","26.180","26.180","0.19%"
"Oct 13, 2022","26.130","26.130","26.130","26.130","0.04%"
"Oct 12, 2022","26.120","26.120","26.120","26.120","0.08%"
"Oct 11, 2022","26.100","26.100","26.100","26.100","0.04%"
"Oct 10, 2022","26.090","26.090","26.090","26.090","0.15%"
"Oct 07, 2022","26.050","26.050","26.050","26.050","0.04%"
"Oct 06, 2022","26.040","26.040","26.040","26.040","0.08%"
"Oct 05, 2022","26.020","26.020","26.020","26.020","0.04%"
"Oct 04, 2022","26.010","26.010","26.010","26.010","0.04%"
"Oct 03, 2022","26.000","26.000","26.000","26.000","0.15%"
"Sep 30, 2022","25.960","25.960","25.960","25.960","0.04%"
"Sep 29, 2022","25.950","25.950","25.950","25.950","0.08%"
"Sep 28, 2022","25.930","25.930","25.930","25.930","0.04%"
"Sep 27, 2022","25.920","25.920","25.920","25.920","0.04%"
"Sep 26, 2022","25.910","25.910","25.910","25.910","0.15%"
"Sep 23, 2022","25.870","25.870","25.870","25.870","0.04%"
"Sep 22, 2022","25.860","25.860","25.860","25.860","0.08%"
"Sep 21, 2022","25.840","25.840","25.840","25.840","0.08%"
"Sep 19, 2022","25.820","25.820","25.820","25.820","0.16%"
"Sep 16, 2022","25.780","25.780","25.780","25.780","0.04%"
"Sep 15, 2022","25.770","25.770","25.770","25.770","0.04%"
"Sep 14, 2022","25.760","25.760","25.760","25.760","0.08%"
"Sep 13, 2022","25.740","25.740","25.740","25.740","0.04%"
"Sep 12, 2022","25.730","25.730","25.730","25.730","0.16%"
"Sep 09, 2022","25.690","25.690","25.690","25.690","0.04%"
"Sep 08, 2022","25.680","25.680","25.680","25.680","0.04%"
"Sep 07, 2022","25.670","25.670","25.670","25.670","0.08%"
"Sep 06, 2022","25.650","25.650","25.650","25.650","0.04%"
"Sep 05, 2022","25.640","25.640","25.640","25.640","0.16%"
"Sep 02, 2022","25.600","25.600","25.600","25.600","0.04%"
"Sep 01, 2022","25.590","25.590","25.590","25.590","0.04%"
"Aug 31, 2022","25.580","25.580","25.580","25.580","0.04%"
"Aug 30, 2022","25.570","25.570","25.570","25.570","0.08%"
"Aug 29, 2022","25.550","25.550","25.550","25.550","0.12%"
"Aug 26, 2022","25.520","25.520","25.520","25.520","0.08%"
"Aug 25, 2022","25.500","25.500","25.500","25.500","0.00%"
"Aug 24, 2022","25.500","25.500","25.500","25.500","0.08%"
"Aug 23, 2022","25.480","25.480","25.480","25.480","0.04%"
"Aug 22, 2022","25.470","25.470","25.470","25.470","0.16%"
"Aug 19, 2022","25.430","25.430","25.430","25.430","0.04%"
"Aug 18, 2022","25.420","25.420","25.420","25.420","0.04%"
"Aug 17, 2022","25.410","25.410","25.410","25.410","0.08%"
"Aug 16, 2022","25.390","25.390","25.390","25.390","0.04%"
"Aug 15, 2022","25.380","25.380","25.380","25.380","0.16%"
"Aug 12, 2022","25.340","25.340","25.340","25.340","0.04%"
"Aug 11, 2022","25.330","25.330","25.330","25.330","-49.34%"
"Aug 10, 2022","50.000","50.000","50.000","50.000","0.00%"
"Aug 09, 2022","50.000","50.000","50.000","50.000","0.00%"
"Aug 08, 2022","50.000","50.000","50.000","50.000","0.00%"
"Aug 05, 2022","50.000","50.000","50.000","50.000","0.00%"
"Aug 04, 2022","50.000","50.000","50.000","50.000","0.00%"
"Aug 03, 2022","50.000","50.000","50.000","50.000","0.00%"
"Aug 02, 2022","50.000","50.000","50.000","50.000","0.00%"
"Aug 01, 2022","50.000","50.000","50.000","50.000","0.00%"
"Jul 29, 2022","50.000","50.000","50.000","50.000","0.00%"
"Jul 28, 2022","50.000","50.000","50.000","50.000","0.00%"
"Jul 27, 2022","50.000","50.000","50.000","50.000","0.00%"
"Jul 26, 2022","50.000","50.000","50.000","50.000","0.00%"
"Jul 25, 2022","50.000","50.000","50.000","50.000","0.00%"
"Jul 22, 2022","50.000","50.000","50.000","50.000","0.00%"
"Jul 21, 2022","50.000","50.000","50.000","50.000","0.00%"
"Jul 20, 2022","50.000","50.000","50.000","50.000","0.00%"
"Jul 19, 2022","50.000","50.000","50.000","50.000","0.00%"
"Jul 18, 2022","50.000","50.000","50.000","50.000","0.00%"
"Jul 15, 2022","50.000","50.000","50.000","50.000","0.00%"
"Jul 14, 2022","50.000","50.000","50.000","50.000","0.00%"
"Jul 13, 2022","50.000","50.000","50.000","50.000","25.00%"
"Jul 12, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jul 11, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jul 08, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jul 07, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jul 06, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jul 05, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jul 04, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jul 01, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 30, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 29, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 28, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 27, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 24, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 23, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 22, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 21, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 20, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 17, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 16, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 15, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 14, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 13, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 10, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 09, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 08, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 07, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 06, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 03, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 02, 2022","40.000","40.000","40.000","40.000","0.00%"
"Jun 01, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 31, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 30, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 27, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 26, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 25, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 24, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 23, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 20, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 19, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 18, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 17, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 16, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 13, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 12, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 11, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 10, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 06, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 05, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 04, 2022","40.000","40.000","40.000","40.000","0.00%"
"May 03, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 29, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 28, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 27, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 26, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 25, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 22, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 21, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 20, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 19, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 18, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 15, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 14, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 13, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 12, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 11, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 08, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 07, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 06, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 05, 2022","40.000","40.000","40.000","40.000","0.00%"
"Apr 04, 2022","40.000","40.000","40.000","40.000","8.11%"
"Apr 01, 2022","37.000","37.000","37.000","37.000","0.00%"
"Mar 31, 2022","37.000","37.000","37.000","37.000","0.00%"
"Mar 30, 2022","37.000","37.000","37.000","37.000","0.00%"
"Mar 29, 2022","37.000","37.000","37.000","37.000","-2.63%"
"Mar 28, 2022","38.000","38.000","38.000","38.000","0.00%"
"Mar 25, 2022","38.000","38.000","38.000","38.000","0.00%"
"Mar 24, 2022","38.000","38.000","38.000","38.000","0.00%"
"Mar 23, 2022","38.000","38.000","38.000","38.000","0.00%"
"Mar 22, 2022","38.000","38.000","38.000","38.000","0.00%"
"Mar 21, 2022","38.000","38.000","38.000","38.000","0.00%"
"Mar 18, 2022","38.000","38.000","38.000","38.000","0.00%"
"Mar 17, 2022","38.000","38.000","38.000","38.000","-11.63%"
"Mar 16, 2022","43.000","43.000","43.000","43.000","0.00%"
"Mar 15, 2022","43.000","43.000","43.000","43.000","0.00%"
"Mar 14, 2022","43.000","43.000","43.000","43.000","0.00%"
"Mar 11, 2022","43.000","43.000","43.000","43.000","0.00%"
"Mar 10, 2022","43.000","43.000","43.000","43.000","0.00%"
"Mar 09, 2022","43.000","43.000","43.000","43.000","0.00%"
"Mar 04, 2022","43.000","43.000","43.000","43.000","0.00%"
"Mar 03, 2022","43.000","43.000","43.000","43.000","0.00%"
"Mar 02, 2022","43.000","43.000","43.000","43.000","79.17%"
